Date,Type,Loss,LNum,Win,WNum,Amount,Volume,Avg,CumLoss,CumWin,Psh,PnL,CumPnL,TradeVol,Opening,LPsh,WPsh
2023-07-20,Y,-2600.0,21.0,63540.0,99.0,1198482960.0,15900.0,8241.69,-1539080.0,2184320.0,,60940.0,645240.0,214.0,94.0,-12.0,64.0
2023-07-21,Y,-50200.0,152.0,8820.0,36.0,1226693740.0,16243.0,8224.72,-1589280.0,2193140.0,,-41380.0,603860.0,343.0,155.0,-33.0,24.0
2023-07-24,Y,-12600.0,42.0,1440.0,10.0,1238936420.0,16395.0,8054.39,-1601880.0,2194580.0,,-11160.0,592700.0,152.0,100.0,-30.0,14.0
2023-07-25,Y,-160.0,2.0,41700.0,48.0,1245107560.0,16471.0,8119.92,-1602040.0,2236280.0,,41540.0,634240.0,76.0,26.0,-8.0,87.0
2023-07-26,Y,,,16840.0,16.0,1249278700.0,16522.0,8178.71,-1602040.0,2253120.0,,16840.0,651080.0,51.0,35.0,0.0,105.0
2023-07-27,Y,-4200.0,10.0,57720.0,84.0,1261500000.0,16670.0,8257.64,-1606240.0,2310840.0,,53520.0,704600.0,148.0,54.0,-42.0,69.0
2023-07-28,Y,-30000.0,72.0,4380.0,29.0,1280135260.0,16897.0,8209.37,-1636240.0,2315220.0,,-25620.0,678980.0,227.0,126.0,-42.0,15.0
2023-07-31,Y,-59520.0,147.0,71740.0,76.0,1317860560.0,17361.0,8130.45,-1695760.0,2386960.0,,12220.0,691200.0,464.0,241.0,-40.0,94.0
2023-08-01,Y,-1880.0,15.0,3660.0,30.0,1326494160.0,17468.0,8068.79,-1697640.0,2390620.0,,1780.0,692980.0,107.0,62.0,-13.0,12.0
2023-08-02,Y,-4260.0,16.0,46460.0,76.0,1337109040.0,17598.0,8165.29,-1701900.0,2437080.0,,42200.0,735180.0,130.0,38.0,-27.0,61.0
2023-08-03,Y,-12320.0,23.0,18520.0,46.0,1347903980.0,17731.0,8116.5,-1714220.0,2455600.0,,6200.0,741380.0,133.0,64.0,-54.0,40.0
2023-08-04,Y,-53860.0,66.0,80.0,2.0,1367089140.0,17967.0,8129.31,-1768080.0,2455680.0,,-53780.0,687600.0,236.0,168.0,-82.0,4.0
2023-08-07,Y,-28760.0,92.0,37180.0,75.0,1394001560.0,18296.0,8180.07,-1796840.0,2492860.0,,8420.0,696020.0,329.0,162.0,-31.0,50.0
2023-08-08,Y,-3380.0,22.0,80860.0,117.0,1409571380.0,18490.0,8025.68,-1800220.0,2573720.0,,77480.0,773500.0,194.0,55.0,-15.0,69.0
2023-08-09,Y,-54940.0,67.0,30840.0,42.0,1430046620.0,18745.0,8029.51,-1855160.0,2604560.0,,-24100.0,749400.0,255.0,146.0,-82.0,73.0
2023-08-10,Y,-2160.0,11.0,50900.0,52.0,1443726940.0,18912.0,8191.81,-1857320.0,2655460.0,,48740.0,798140.0,167.0,104.0,-20.0,98.0
2023-08-11,Y,-40560.0,78.0,,,1456429360.0,19068.0,8142.58,-1897880.0,2655460.0,,-40560.0,757580.0,156.0,78.0,-52.0,0.0
2023-08-14,Y,-45060.0,117.0,40860.0,96.0,1485675100.0,19425.0,8192.08,-1942940.0,2696320.0,,-4200.0,753380.0,357.0,144.0,-39.0,43.0
2023-08-15,Y,-12120.0,24.0,91480.0,65.0,1506837420.0,19691.0,7955.76,-1955060.0,2787800.0,,79360.0,832740.0,266.0,177.0,-50.0,141.0
2023-08-16,Y,-14520.0,57.0,85640.0,104.0,1530197660.0,19982.0,8027.57,-1969580.0,2873440.0,,71120.0,903860.0,291.0,130.0,-25.0,82.0
2023-08-17,Y,-840.0,32.0,26060.0,86.0,1548107420.0,20205.0,8031.28,-1970420.0,2899500.0,,25220.0,929080.0,223.0,105.0,-3.0,30.0
2023-08-18,Y,-9460.0,81.0,45380.0,113.0,1581926280.0,20622.0,8110.04,-1979880.0,2944880.0,,35920.0,965000.0,417.0,223.0,-12.0,40.0
2023-08-21,Y,-93840.0,147.0,32760.0,61.0,1616158900.0,21043.0,8131.26,-2073720.0,2977640.0,,-61080.0,903920.0,421.0,213.0,-64.0,54.0
2023-08-22,Y,-1540.0,19.0,45100.0,73.0,1627526880.0,21183.0,8119.99,-2075260.0,3022740.0,,43560.0,947480.0,140.0,48.0,-8.0,62.0
2023-08-23,Y,-28700.0,42.0,29720.0,97.0,1647251800.0,21426.0,8117.25,-2103960.0,3052460.0,,1020.0,948500.0,243.0,104.0,-68.0,31.0
2023-08-24,Y,-38900.0,86.0,20780.0,120.0,1687301760.0,21908.0,8309.12,-2142860.0,3073240.0,,-18120.0,930380.0,482.0,276.0,-45.0,17.0
